tag,arch,depth,width,params,seed,epoch,train_loss,test_loss,test_acc,seconds,train_eval_loss,train_eval_acc
sweep_mlp1w512_lr3e-3,mlp,1,512,407050,1,3,0.084178,0.356239,0.900300,0.644,nan,nan
sweep_mlp1w512_lr3e-3,mlp,1,512,407050,1,4,0.057497,0.425552,0.897900,0.738,nan,nan
sweep_mlp1w512_lr3e-3,mlp,1,512,407050,2,1,0.338204,0.410758,0.877000,0.669,nan,nan
sweep_mlp1w512_lr3e-3,mlp,1,512,407050,2,2,0.134241,0.399863,0.884600,0.651,nan,nan
sweep_mlp1w512_lr3e-3,mlp,1,512,407050,2,3,0.082441,0.397290,0.893200,0.679,nan,nan
sweep_mlp1w512_lr3e-3,mlp,1,512,407050,2,4,0.052711,0.407310,0.902800,0.716,nan,nan
sweep_mlp1w1024_lr3e-4,mlp,1,1024,814090,1,1,0.596020,0.676888,0.785800,0.874,nan,nan
sweep_mlp1w1024_lr3e-4,mlp,1,1024,814090,1,2,0.295472,0.564222,0.823400,0.706,nan,nan
sweep_mlp1w1024_lr3e-4,mlp,1,1024,814090,1,3,0.211321,0.475792,0.855900,0.620,nan,nan
sweep_mlp1w1024_lr3e-4,mlp,1,1024,814090,1,4,0.161326,0.417829,0.876400,0.773,nan,nan
sweep_mlp1w1024_lr3e-4,mlp,1,1024,814090,2,1,0.599628,0.664438,0.790700,0.729,nan,nan
sweep_mlp1w1024_lr3e-4,mlp,1,1024,814090,2,2,0.295248,0.566271,0.824800,0.651,nan,nan
sweep_mlp1w1024_lr3e-4,mlp,1,1024,814090,2,3,0.212640,0.466711,0.857300,0.644,nan,nan
sweep_mlp1w1024_lr3e-4,mlp,1,1024,814090,2,4,0.162819,0.413013,0.876600,0.652,nan,nan
sweep_mlp1w1024_lr1e-3,mlp,1,1024,814090,1,1,0.399423,0.467793,0.856800,0.943,nan,nan
sweep_mlp1w1024_lr1e-3,mlp,1,1024,814090,1,2,0.162137,0.386733,0.884300,0.687,nan,nan
sweep_mlp1w1024_lr1e-3,mlp,1,1024,814090,1,3,0.098863,0.336322,0.905500,0.707,nan,nan
sweep_mlp1w1024_lr1e-3,mlp,1,1024,814090,1,4,0.064631,0.360188,0.901300,0.775,nan,nan
sweep_mlp1w1024_lr1e-3,mlp,1,1024,814090,2,1,0.405356,0.466345,0.858200,0.659,nan,nan
sweep_mlp1w1024_lr1e-3,mlp,1,1024,814090,2,2,0.163578,0.386406,0.883500,0.627,nan,nan
sweep_mlp1w1024_lr1e-3,mlp,1,1024,814090,2,3,0.099621,0.335917,0.901500,0.790,nan,nan
sweep_mlp1w1024_lr1e-3,mlp,1,1024,814090,2,4,0.063933,0.336859,0.908200,0.745,nan,nan
sweep_mlp1w1024_lr3e-3,mlp,1,1024,814090,1,1,0.308317,0.427127,0.869400,1.057,nan,nan
sweep_mlp1w1024_lr3e-3,mlp,1,1024,814090,1,2,0.125226,0.360069,0.902000,0.702,nan,nan
